Alice,item1,5.0,1256356300
Alice,item2,3.0,1256356300
Alice,item3,4.0,1256356300
Alice,item4,4.0,1256356300
Alice,item5,1.0,1256356300
User1,item1,3.0,1256356300
User1,item2,1.0,1256356300
User1,item3,2.0,1256356300
User1,item4,3.0,1256356300
User1,item5,1.0,1256356300
User1,item6,3.0,1256356300
User2,item1,4.0,1256356300
User2,item2,3.0,1256356300
User2,item3,4.0,1256356300
User2,item4,3.0,1256356300
User2,item5,1.0,1256356300
User2,item6,5.0,1256356300
User3,item1,3.0,1256356300
User3,item2,3.0,1256356300
User3,item3,1.0,1256356300
User3,item4,5.0,1256356300
User3,item5,1.0,1256356300
User3,item6,4.0,1256356300
User4,item1,1.0,1256356300
User4,item2,5.0,1256356300
User4,item3,5.0,1256356300
User4,item4,2.0,1256356300
User4,item5,1.0,1256356300
User4,item6,1.0,1256356300
